STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,NAFTA,NAFTA,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1999-11,,101.5649,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,NAFTA,NAFTA,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1999-10,,101.4367,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1960-07,,102.7516,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1960-06,,102.8533,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1960-05,,102.8292,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,NAFTA,NAFTA,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,2003-08,,98.79471,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,NAFTA,NAFTA,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1985-05,,100.9989,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-08,,97.12809,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-07,,97.45311,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-06,,97.90705,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-05,,98.45131,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-04,,99.04275,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-03,,99.63624,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-02,,100.1933,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1961-01,,100.6913,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1960-12,,101.1349,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1960-11,,101.5392,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,2022-11,,100.9318,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,2022-10,,100.9267,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1982-04,,101.0083,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1982-03,,101.2118,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1982-02,,101.4303,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1982-01,,101.694,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-12,,101.9934,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-11,,102.2938,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-10,,102.5487,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-09,,102.7128,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-08,,102.749,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-07,,102.6429,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-06,,102.4251,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-05,,102.1453,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1981-04,,101.8534,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CLI(4.1),Composite leading indicators,I,AUS,Australia,M,Monthly,RS,Reference series (GDP),IX,Index,_Z,Not applicable,RT,Ratio to trend,IX,Index,_Z,Not applicable,H,OECD harmonised,1962-11,,99.40418,,A,Normal value,0,Units,2,Two,,
