,S&P 500 COMPOSITE - PRICE INDEX,cmdty BLS Commodity Price Ind 'DEAD' - PRICE INDEX,Gold Bullion LBM $/t oz DELAY,Crude Oil-WTI Spot Cushing U$/BBL,US INITIAL CLAIMS FOR UNEMPLOYMENT INSURANCE (BCI 5) VOLA,US NAHB MARKET SURVEY: NEW SINGLE FAMILY HOME SALES-CURRENTLY,US CONSUMER CONFIDENCE INDEX SADJ,US CONSUMER CONFIDENCE INDEX - EXPECTATIONS SADJ,US CONSUMER CONFIDENCE INDEX - PRESENT SITUATION SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS PLENTIFUL SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS HARD TO FIND SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY AUTO SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME DECREASED SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME INCREASED SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS FEWER SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS NOT SO PLENTIFUL SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS MORE SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY ANY HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY LIVED IN HOME,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY MAJOR APPL( SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY NEW AUTO SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY NEW HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY USED AUTO SADJ,US CONSUMER CONFIDENCE CURRENTLY - BUSINESS CONDITIONS BAD SADJ,US CONSUMER CONFIDENCE CURRENTLY - BUSINESS CONDITIONS GOOD SADJ,US CONSUMER CONFIDENCE CURRENTLY-BUSINESS CONDITIONS NORMAL SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS BETTER,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS WORSE,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY AIR CONDITIONER,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY AUTO UNCERTAIN,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY CARPET SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY CLOTHES DRYER,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY RANGE SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY REFRIGERATOR,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY TV SET SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY VACUUM CLEANER,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY WASHING MACHINE,US NATIONAL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US NAHB MARKET SURVEY: NEW SINGLE FAMILY HOME SALES-IN NEXT 6 MO,US NAHB MARKET SURVEY: TRAFFIC OF PROSPECTIVE NEW HOME BUYERS,US ISM PURCHASING MANAGERS INDEX (MFG SURVEY) SADJ,US ISM MANUFACTURERS SURVEY: NEW ORDERS INDEX SADJ,US ISM MANUFACTURERS SURVEY RESULTS: PRICES PAID - SAME VOLN,US ISM MANUFACTURERS SURVEY: PRODUCTION INDEX SADJ,US ISM MANUFACTURERS SURVEY: EMPLOYMENT INDEX SADJ
1985-01-15,179.63,256.9,306.75,26.35,375.0,50.0,102.0,102.5,101.2,19.6,30.8,9.3,8.2,27.3,15.2,49.6,16.8,0.9,3.4,1.6,28.1,4.7,0.9,3.1,20.7,28.2,51.1,64.5,21.7,69.8,8.5,68.0,1.2,1.5,6.5,3.4,2.3,3.9,8.3,5.2,3.8,50.0,59.0,44.0,50.3,51.8,66.0,54.9,44.4
1985-02-15,181.18,251.9,288.75,28.0,388.8,61.0,103.1,103.9,102.0,19.7,31.1,9.0,7.9,26.7,14.7,49.2,16.6,0.8,3.1,1.3,29.0,4.6,1.0,2.9,19.9,28.4,51.7,65.4,22.9,68.9,8.2,68.7,1.7,1.5,7.1,3.3,2.8,3.9,8.7,5.0,3.6,58.0,64.0,48.0,49.9,51.8,75.0,54.2,45.2
1985-03-15,180.66,256.8,330.0,28.3,382.5,56.0,96.1,95.9,96.5,18.2,33.7,8.8,8.2,27.1,16.4,48.1,14.1,0.9,3.4,1.6,27.9,4.8,0.9,3.1,20.5,28.4,51.1,64.7,19.4,71.1,9.5,69.5,1.7,0.9,6.7,3.2,2.5,3.9,8.2,4.6,3.8,54.0,57.0,48.0,47.8,49.1,74.0,51.2,44.2
1985-04-15,179.83,254.1,321.0,27.6,398.3,51.0,104.4,105.1,103.5,19.1,30.1,8.6,7.3,25.6,13.9,50.8,16.4,1.0,3.6,1.6,27.1,4.9,1.0,3.0,18.8,28.7,52.5,67.1,20.3,72.6,7.1,69.7,1.5,0.7,7.4,3.2,2.2,3.8,7.7,4.2,4.5,49.0,56.0,41.0,48.2,51.3,79.0,51.6,43.2
1985-05-15,189.55,246.8,316.0,27.85,393.5,53.0,99.6,99.6,99.6,19.3,32.4,8.1,8.1,25.9,15.5,48.3,15.1,0.9,3.3,1.5,24.5,4.5,0.9,2.7,20.5,28.5,51.0,66.0,19.9,72.0,8.1,69.4,1.5,0.9,6.2,2.5,2.5,3.4,7.7,3.9,3.0,51.0,58.0,42.0,47.1,49.5,76.0,51.9,40.4
1985-06-15,191.85,242.6,317.75,26.7,392.3,56.0,102.6,102.7,102.5,19.8,31.0,8.2,7.5,26.3,14.5,49.2,15.5,0.8,3.3,1.5,27.9,4.7,1.0,3.1,19.8,28.5,51.7,66.2,20.6,71.6,7.8,70.0,1.6,0.4,7.4,3.1,2.7,4.2,8.3,4.5,3.5,54.0,65.0,44.0,47.8,50.7,68.0,50.5,44.5
1985-07-15,190.92,237.6,325.25,27.15,378.3,60.0,103.2,102.5,104.2,20.0,29.6,8.1,7.4,26.6,14.6,50.4,15.2,0.8,3.4,1.5,27.8,5.1,1.1,2.6,19.7,28.4,51.9,66.0,20.0,72.5,7.5,70.2,1.4,0.4,7.6,3.1,3.0,4.4,8.0,4.1,3.8,58.0,64.0,49.0,47.9,52.5,71.0,48.2,45.2
1985-08-15,188.63,233.1,333.5,28.05,403.8,63.0,100.9,102.1,99.0,19.5,30.6,8.5,7.7,27.2,15.2,49.9,16.6,1.1,3.6,1.5,27.8,5.0,1.0,3.1,22.4,27.6,50.0,65.1,21.5,69.5,9.0,68.2,1.6,0.4,7.1,2.8,3.0,3.9,8.2,4.5,3.8,58.0,64.0,45.0,47.7,51.8,75.0,50.6,41.1
1985-09-15,182.08,229.4,325.25,29.1,408.5,61.0,96.0,96.3,95.6,18.8,32.6,10.6,7.8,28.0,17.9,48.6,15.3,0.8,3.4,1.6,28.4,6.0,1.0,3.1,21.7,26.3,52.0,64.2,19.7,70.4,9.9,66.8,1.5,1.5,7.0,3.4,2.7,3.7,8.2,5.0,3.9,56.0,60.0,44.0,49.9,54.6,74.0,52.8,41.8
1985-10-15,189.82,230.1,324.5,30.4,404.0,61.0,96.1,94.5,98.5,18.9,30.8,8.9,8.8,27.7,19.0,50.3,16.6,0.8,3.6,1.7,35.9,5.1,1.1,2.9,21.5,27.3,51.2,63.5,21.4,66.7,11.9,64.4,1.5,0.9,8.7,4.1,3.2,5.1,10.7,5.1,6.2,59.0,68.0,52.0,50.9,53.4,76.0,54.9,45.2
